variant,seed,avg_rate,outage,beam_success,avg_return,latency_ms,status,skipped_reason
Reactive,0.0,4.637813905343862,0.1175,0.73,4.351438905343862,0.0027582875145526486,ok,
Reactive,1.0,5.0082619001455715,0.0975,0.7475,4.758886900145571,0.0027320849994794116,ok,
OneStepPredictive,0.0,3.858965927343768,0.02,0.9125,3.8114659273437677,0.2947636400222109,ok,
OneStepPredictive,1.0,3.575522014551149,0.03,0.9199999999999999,3.509897014551149,0.2639534075433403,ok,
BeliefAwareRollout_V1,0.0,1.7854365819310756,0.6575,0.155,0.4599365819310751,3.2851900174546245,ok,
BeliefAwareRollout_V1,1.0,2.2757089497464045,0.385,0.385,1.4779589497464045,3.2662086500067744,ok,
BeliefAwareRollout_ModelV2,0.0,2.736944908284534,0.0275,0.9375,2.675194908284535,3.5275871024714434,ok,
BeliefAwareRollout_ModelV2,1.0,3.145286120242104,0.04,0.9275,3.0604111202421045,3.507555527544355,ok,
ProposedV2_NoLoSGuard,0.0,3.844966094673003,0.025,0.9075,3.787466094673003,0.7054005650206818,ok,
ProposedV2_NoLoSGuard,1.0,3.561625747752272,0.0275,0.9199999999999999,3.499125747752272,0.7403271824659896,ok,
ProposedV2_NoPredictiveFallback,0.0,4.70951374359237,0.0975,0.7625,4.467638743592371,0.1805169650060634,ok,
ProposedV2_NoPredictiveFallback,1.0,4.749195546651791,0.09,0.7725,4.524945546651791,0.2289601875554581,ok,
ProposedV2_Adaptive,0.0,4.696050780249431,0.0775,0.78,4.501300780249432,0.2689830049894226,ok,
ProposedV2_Adaptive,1.0,4.809735663510342,0.0675,0.8049999999999999,4.638735663510342,0.3298494400587515,ok,
ProposedV2_Full,0.0,4.760484747306876,0.07500000000000001,0.7875000000000001,4.569609747306877,0.2431463524226274,ok,
ProposedV2_Full,1.0,4.865095719957175,0.06,0.8075,4.708720719957174,0.3119668825183908,ok,
Oracle,0.0,5.589620519147218,0.0,0.8975,5.577245519147217,1.358630197482853,ok,
Oracle,1.0,5.985970197923175,0.0,0.92,5.969845197923174,1.6702112349503295,ok,
ProposedV2_NoPairwise,,,,,,,skipped,"Skipped: no separate checkpoint trained with beam_gain_pairwise_rank_loss_weight=0 is present. The current ProposedV2Policy uses the one-step predictor for fallback, so pairwise ranking affects the BeliefAwareRollout model path rather than this policy directly."
