method,seed,episode_id,event_id,pre_blockage_avg_rate,post_blockage_avg_rate,recovery_time,preemptive_switch_rate,fallback_trigger_rate_around_onset
BeliefAwareRollout,0,1,0,6.05842325702785,0.910266733905618,5.0,0.0,0.0
BeliefAwareRollout,0,1,1,5.5058300899631964,1.7477926239835961,3.0,1.0,0.0
BeliefAwareRollout,0,2,0,7.54888654484893,3.6405976124540893,1.0,0.0,0.0
BeliefAwareRollout,0,3,0,3.8579321573842393,1.5911702308595033,2.0,1.0,0.0
BeliefAwareRollout,0,3,1,4.470334698464617,2.171027465926794,2.0,1.0,0.0
BeliefAwareRollout,1,0,0,3.6990455173773134,0.667697242469734,5.0,1.0,0.0
BeliefAwareRollout,1,0,1,2.5203866435197826,0.36283824287631444,7.0,1.0,0.0
BeliefAwareRollout,1,0,2,4.997890385469587,0.7987416313292854,5.0,1.0,0.0
BeliefAwareRollout,1,2,0,3.517151223418568,2.036802920408881,3.0,1.0,0.0
BeliefAwareRollout,1,2,1,6.320984107624058,2.4621979167605126,4.0,0.0,0.0
BeliefAwareRollout,1,2,2,2.7750992919099646,0.41751756994071965,4.0,1.0,0.0
BeliefAwareRollout,1,3,0,1.209243201352789,3.989336608369199,1.0,1.0,0.0
BeliefAwareRollout,1,3,1,2.4941387921143643,2.313138776191234,,1.0,0.0
BeliefAwareRollout,1,3,2,3.3195238366468325,2.2967224643807924,3.0,1.0,0.0
BeliefAwareRollout,2,0,0,8.01071157167429,1.0296325241617215,4.0,0.0,0.0
BeliefAwareRollout,2,0,1,4.993368161435269,2.1145429289957085,3.0,1.0,0.0
BeliefAwareRollout,2,1,0,4.9826694904341675,1.2167250664503197,4.0,1.0,0.0
BeliefAwareRollout,2,1,1,4.150725185515131,2.53360013790125,3.0,1.0,0.0
BeliefAwareRollout,2,1,2,5.709051297685332,1.0625099957879767,4.0,0.0,0.0
BeliefAwareRollout,2,2,0,4.613876768390798,1.569639403606298,2.0,0.0,0.0
BeliefAwareRollout,2,2,1,4.698659540819675,1.3983689764744547,3.0,1.0,0.0
BeliefAwareRollout,2,2,2,4.086865274333232,2.6380596927332935,2.0,1.0,0.0
BeliefAwareRollout,2,3,0,5.092650482000588,1.952649605885217,3.0,1.0,0.0
BeliefAwareRollout,2,3,1,4.7092545332317375,1.2021648934820852,3.0,1.0,0.0
BeliefAwareRollout,2,3,2,4.452467192998061,2.6886781767875263,2.0,1.0,0.0
BeliefAwareRollout,3,0,0,4.265751084993543,3.4290104790870815,,1.0,0.0
BeliefAwareRollout,3,0,1,6.575030765207027,1.6900933811919208,5.0,0.0,0.0
BeliefAwareRollout,3,1,0,6.180718326916008,0.1632255012850666,6.0,0.0,0.0
BeliefAwareRollout,3,1,1,5.4295380755061995,2.8441582005671275,2.0,1.0,0.0
BeliefAwareRollout,3,1,2,6.712770170774798,3.877750192709012,1.0,0.0,0.0
BeliefAwareRollout,3,2,0,7.329946167873179,2.8372527790908344,3.0,0.0,0.0
BeliefAwareRollout,3,2,1,6.215076272485563,1.6505105232993238,3.0,0.0,0.0
BeliefAwareRollout,3,3,0,3.568171456813637,1.7947266255298677,1.0,1.0,0.0
BeliefAwareRollout,4,0,0,2.3196309701835873,1.6395323624855864,5.0,1.0,0.0
BeliefAwareRollout,4,2,0,4.871725583088835,2.453541579808984,1.0,1.0,0.0
BeliefAwareRollout,4,2,1,8.046517712826894,5.880737390054169,2.0,1.0,0.0
BeliefAwareRollout,4,2,2,6.300947603908466,3.54035578610806,,1.0,0.0
BeliefAwareRollout,4,2,3,4.272408507264832,1.4352494053411806,3.0,1.0,0.0
BeliefAwareRollout,4,2,4,5.4237842519503445,0.6702275773909697,5.0,1.0,0.0
BeliefAwareRollout,4,3,0,2.6618845315211255,4.06726807786067,2.0,1.0,0.0
Oracle,0,1,0,6.05842325702785,2.8424527496759695,,0.0,0.0
Oracle,0,1,1,6.739559792631726,3.3318335501666225,,0.0,0.0
Oracle,0,2,0,7.54888654484893,4.963014644565532,,0.0,0.0
Oracle,0,3,0,4.234357690526944,2.7098926664636207,,0.0,0.0
Oracle,0,3,1,6.507771382508833,3.6484944776432298,,0.0,0.0
Oracle,1,0,0,4.217836018021952,2.5538636932580063,,0.0,0.0
Oracle,1,0,1,5.2856236168718755,2.8500876073179064,,1.0,0.0
Oracle,1,0,2,5.6874735423738665,2.7300078373743957,,0.0,0.0
Oracle,1,2,0,4.295108337634173,3.2087461200878917,,0.0,0.0
Oracle,1,2,1,6.320984107624058,4.060658952165861,,0.0,0.0
Oracle,1,2,2,4.064557656606268,1.9116860579099093,,0.0,0.0
Oracle,1,3,0,7.625149510373346,4.799571595169173,,0.0,0.0
Oracle,1,3,1,4.573557517570773,2.581563915073738,,0.0,0.0
Oracle,1,3,2,5.815838456366302,2.9917644188770147,,0.0,0.0
Oracle,2,0,0,8.01071157167429,2.7382092282027792,,0.0,0.0
Oracle,2,0,1,6.027402722414602,3.068168416138166,,0.0,0.0
Oracle,2,1,0,6.0641126449813285,2.8499071257802413,,0.0,0.0
Oracle,2,1,1,6.444474881444276,3.4879302898063416,,0.0,0.0
Oracle,2,1,2,5.709051297685332,2.6284324676235564,,0.0,0.0
Oracle,2,2,0,4.613876768390798,4.185261023486373,,0.0,0.0
Oracle,2,2,1,5.811725284106957,3.104707073416138,,0.0,0.0
Oracle,2,2,2,5.533108443942206,3.3305748574166603,,0.0,0.0
Oracle,2,3,0,6.522623654520065,3.146775725900491,,0.0,0.0
Oracle,2,3,1,5.825654703200207,1.9432516124819728,,0.0,0.0
Oracle,2,3,2,5.424516650054736,3.1862348483451144,,0.0,0.0
Oracle,3,0,0,5.48009429307827,3.4290104790870815,,0.0,0.0
Oracle,3,0,1,6.575030765207027,2.275285222572726,,0.0,0.0
Oracle,3,1,0,6.180718326916008,1.9288536285456488,,0.0,0.0
Oracle,3,1,1,6.193911446761634,3.639527555647043,,0.0,0.0
Oracle,3,1,2,6.712770170774798,3.877750192709012,,0.0,0.0
Oracle,3,2,0,7.329946167873179,4.412116583445488,,0.0,0.0
Oracle,3,2,1,6.215076272485563,2.6914612325017377,,0.0,0.0
Oracle,3,3,0,3.929623820231602,4.643342904121366,,0.0,0.0
Oracle,4,0,0,5.197098433277508,4.167413167343249,,0.0,0.0
Oracle,4,2,0,7.790961848585221,3.0468373599136016,,0.0,0.0
Oracle,4,2,1,8.165003786260685,6.786362866858274,,0.0,0.0
Oracle,4,2,2,6.552724693300597,5.551422257198823,,0.0,0.0
Oracle,4,2,3,6.1534851343769805,3.177582977805161,,0.0,0.0
Oracle,4,2,4,6.20340635089954,2.94026339210378,,0.0,0.0
Oracle,4,3,0,3.4651915452370146,4.619281084317039,,1.0,0.0
ProposedV2,0,1,0,1.353168566440851,2.289380435736016,1.0,1.0,1.0
ProposedV2,0,1,1,6.739559792631726,2.0269211407829455,1.0,0.0,0.9090909090909091
ProposedV2,0,2,0,7.54888654484893,4.438795784466251,1.0,0.0,0.875
ProposedV2,0,3,0,3.8579321573842393,1.5911702308595033,2.0,1.0,0.7272727272727273
ProposedV2,0,3,1,6.507771382508833,3.101125898292608,1.0,0.0,0.7272727272727273
ProposedV2,1,0,0,4.217836018021952,1.7425152962410868,1.0,0.0,1.0
ProposedV2,1,0,1,4.707832482144922,2.3870690443352394,1.0,1.0,0.9090909090909091
ProposedV2,1,0,2,5.650840950745058,0.7987416313292854,5.0,1.0,1.0
ProposedV2,1,2,0,3.517151223418568,1.7878065541693475,1.0,1.0,1.0
ProposedV2,1,2,1,6.320984107624058,1.7099782632714893,2.0,0.0,1.0
ProposedV2,1,2,2,3.411436629700559,1.0800929606588998,1.0,1.0,1.0
ProposedV2,1,3,0,7.625149510373346,4.050232308663898,,0.0,1.0
ProposedV2,1,3,1,2.531321165911689,2.227128434376657,1.0,1.0,0.9090909090909091
ProposedV2,1,3,2,5.815838456366302,2.2967224643807924,3.0,0.0,0.8181818181818182
ProposedV2,2,0,0,6.883147327314798,1.854332156464469,2.0,1.0,0.8181818181818182
ProposedV2,2,0,1,6.027402722414602,2.1145429289957085,3.0,0.0,0.8181818181818182
ProposedV2,2,1,0,6.0641126449813285,2.5162596982373304,1.0,0.0,1.0
