method,seed,episode,average_rate,outage_prob,beam_success_rate,average_return,planning_latency_ms
Reactive,0,0,5.283055717811883,0.06,0.77,5.116555717811882,0.002874140000130865
Reactive,0,1,3.9925720928758412,0.175,0.69,3.5863220928758426,0.0027556200075196102
Reactive,0,2,6.0364461708235755,0.03,0.74,5.922446170823572,0.0027621049321169266
Reactive,0,3,4.789120292531924,0.115,0.695,4.495370292531923,0.0028072499571862863
Reactive,1,0,4.746677532762366,0.125,0.74,4.4374275327623645,0.002817075019265758
Reactive,1,1,5.269846267528777,0.07,0.755,5.080346267528778,0.002782695037240046
Reactive,1,2,4.881418555923117,0.1,0.705,4.6191685559231175,0.002817344993673032
Reactive,1,3,5.248294780513964,0.1,0.74,4.992794780513965,0.002813099990817136
Reactive,2,0,5.657548618696207,0.05,0.8,5.514798618696207,0.002780600016194512
Reactive,2,1,4.677145380158065,0.13,0.74,4.354145380158066,0.002830205021382426
Reactive,2,2,4.971080978041966,0.125,0.76,4.667830978041965,0.002872294953704113
Reactive,2,3,4.164256490684363,0.125,0.765,3.8580064906843643,0.002731039967329707
Reactive,3,0,4.899376664976559,0.125,0.735,4.591626664976558,0.002884144969357294
Reactive,3,1,4.532114910162222,0.16,0.74,4.160364910162223,0.002854369995475281
Reactive,3,2,5.369809965224187,0.095,0.75,5.125809965224188,0.002861284983737278
Reactive,3,3,5.076360222156017,0.09,0.75,4.841610222156017,0.0028591200680239126
Reactive,4,0,5.396250514848983,0.045,0.76,5.255250514848984,0.0028162649232399417
Reactive,4,1,5.635414604051635,0.07,0.78,5.454164604051638,0.0028256549830985023
Reactive,4,2,4.6528575262789085,0.195,0.685,4.200607526278908,0.0029145599728508387
Reactive,4,3,4.923640196197848,0.13,0.73,4.603640196197847,0.002832709951690049
OneStepPredictive,0,0,4.893454581693432,0.015,0.885,4.853704581693432,0.28674504502305354
OneStepPredictive,0,1,2.8244772729941037,0.025,0.94,2.7692272729941037,0.26471081999261514
OneStepPredictive,0,2,4.001500657672583,0.01,0.815,3.9687506576725844,0.2620016548826243
OneStepPredictive,0,3,3.526677952942815,0.03,0.835,3.457677952942816,0.2624070399997436
OneStepPredictive,1,0,3.327757273420884,0.06,0.88,3.200257273420883,0.2612716449493746
OneStepPredictive,1,1,3.8232867556814147,0.0,0.96,3.8195367556814155,0.2608952400078124
OneStepPredictive,1,2,5.5822300847170165,0.065,0.865,5.437230084717016,0.259885449995636
OneStepPredictive,1,3,4.596257383102742,0.05,0.845,4.484257383102741,0.26202932005617185
OneStepPredictive,2,0,5.04841252339343,0.045,0.85,4.94791252339343,0.26073666509546456
OneStepPredictive,2,1,4.033600719863359,0.04,0.865,3.9483507198633596,0.26039815501462726
OneStepPredictive,2,2,3.611883721808847,0.065,0.88,3.4728837218088477,0.2639221399658709
OneStepPredictive,2,3,3.5781942260416573,0.065,0.875,3.436944226041658,0.25920980006958416
OneStepPredictive,3,0,3.5991636458631877,0.02,0.88,3.5404136458631887,0.26124314004846383
OneStepPredictive,3,1,3.8498190359238555,0.085,0.88,3.6685690359238565,0.2609208550529729
OneStepPredictive,3,2,4.205064012486392,0.05,0.865,4.087814012486391,0.26087834496138385
OneStepPredictive,3,3,4.066956702955967,0.03,0.91,3.999456702955966,0.2578074849770928
OneStepPredictive,4,0,4.261891396849354,0.03,0.875,4.193641396849355,0.26433398498738825
OneStepPredictive,4,1,4.7052464624181765,0.015,0.895,4.6609964624181766,0.2621474700390536
OneStepPredictive,4,2,4.169797271382441,0.11,0.82,3.932547271382441,0.26213631997961784
OneStepPredictive,4,3,4.169721330660243,0.03,0.845,4.092471330660243,0.26280999506525404
ProposedV2,0,0,5.342670302871941,0.05,0.79,5.2014203028719415,0.17104668501815468
ProposedV2,0,1,4.138321546078609,0.11,0.775,3.872571546078611,0.3197276949777006
ProposedV2,0,2,5.856945568268181,0.025,0.765,5.755945568268178,0.09554310497151164
ProposedV2,0,3,5.019566938520459,0.055,0.77,4.860066938520459,0.2880833450399223
ProposedV2,1,0,4.228240305487724,0.11,0.775,3.9647403054877195,0.45717767508904217
ProposedV2,1,1,5.15926421742903,0.05,0.795,5.016514217429032,0.1932868200219673
ProposedV2,1,2,4.89036030764954,0.12,0.73,4.595610307649542,0.41900584998984414
ProposedV2,1,3,5.358570111655767,0.08,0.78,5.157320111655767,0.27020601994081517
