method,seed,episode,step,action,selected_beam,oracle_action,oracle_beam,los_beam,oracle_action_match,measured_reward,true_reward,oracle_true_reward,oracle_reward_gap,true_rate,oracle_true_rate,oracle_rate_gap,true_outage,true_beam_success,rate,outage,beam_success,los_flag,reflection_ratio,num_available_paths,dominant_path_type,planning_latency_ms,latency_ms,fallback_triggered,guard_triggered,policy_confidence,policy_margin,policy_entropy,planner_value,planner_terminal_value,planner_beam_gain_value,planner_score_gap,planner_score_std,planner_candidates,planner_los_recovery_gate,planner_los_recovery_bias_max,planner_los_recovery_bias_chosen,planner_los_guard_used,planner_predictive_fallback_used,shortlist_size,shortlist_local_size,shortlist_global_fallback_count,shortlist_los_reserved,shortlist_reflection_reserved,shortlist_prev_beam_kept,shortlist_max_los_prob,shortlist_max_reflection_prob,shortlist_max_beam_gain,shortlist_beam_gain_weight,shortlist_blockage_hint,shortlist_reflection_hint,shortlist_used_global_pool,shortlist_base_pool_size
Reactive,0,0,0,14,14,14,14,15,1.0,2.8916026904317023,2.6695895817181303,2.6695895817181303,0.0,2.8195895817181302,2.8195895817181302,0.0,0.0,1.0,3.041602690431702,0.0,1.0,0.0,0.3551579598159418,4,reflection,0.008250000973930582,0.008250000973930582,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,1,14,14,15,15,15,0.0,2.9040753824914733,2.8638790093668964,5.835694131834185,2.971815122467288,2.8638790093668964,5.985694131834185,3.1218151224672885,0.0,1.0,2.9040753824914733,0.0,1.0,1.0,0.1280902873835699,5,reflection,0.004292000085115433,0.004292000085115433,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,2,15,15,15,15,15,1.0,6.025219141009307,5.546620347429686,5.546620347429686,0.0,5.696620347429686,5.696620347429686,0.0,0.0,1.0,6.175219141009308,0.0,1.0,1.0,0.1268972246010206,5,los,0.0035840002965414897,0.0035840002965414897,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,3,15,15,15,15,15,1.0,5.8131049060003965,5.3918551128184635,5.3918551128184635,0.0,5.3918551128184635,5.3918551128184635,0.0,0.0,1.0,5.8131049060003965,0.0,1.0,1.0,0.1257580776093995,5,los,0.003417000698391348,0.003417000698391348,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,4,15,15,15,15,15,1.0,5.301914735628351,5.074430881208986,5.074430881208986,0.0,5.074430881208986,5.074430881208986,0.0,0.0,1.0,5.301914735628351,0.0,1.0,1.0,0.12466932414636955,5,los,0.0033340002119075507,0.0033340002119075507,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,5,16,16,15,15,15,0.0,-0.7932315060427518,-0.9869022852028976,4.743708895388732,5.730611180591629,1.1630977147971024,4.743708895388732,3.5806111805916294,1.0,0.0,1.3567684939572482,1.0,0.0,1.0,0.13765939674191893,4,los,0.0031669987947680056,0.0031669987947680056,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,6,15,15,15,15,15,1.0,4.462209354531511,4.2589306220840175,4.2589306220840175,0.0,4.408930622084018,4.408930622084018,0.0,0.0,1.0,4.612209354531512,0.0,1.0,1.0,0.13662587505557733,4,los,0.004249999619787559,0.004249999619787559,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,7,15,15,15,15,15,1.0,4.242359890143894,4.070087632782203,4.070087632782203,0.0,4.070087632782203,4.070087632782203,0.0,0.0,1.0,4.242359890143894,0.0,1.0,1.0,0.1356273747397788,4,los,0.0033329997677356005,0.0033329997677356005,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,8,15,15,15,15,15,1.0,3.500800708807657,3.7301951087878593,3.7301951087878593,0.0,3.7301951087878593,3.7301951087878593,0.0,0.0,1.0,3.500800708807657,0.0,1.0,1.0,0.13466208350340855,4,los,0.0031250001484295353,0.0031250001484295353,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactive,0,0,9,15,15,15,15,15,1.0,3.4740054021750404,3.3924233266161496,3.3924233266161496,0.0,3.3924233266161496,3.3924233266161496,0.0,0.0,0.0,3.4740054021750404,0.0,0.0,1.0,0.13372819647838075,4,los,0.0028750000637955964,0.0028750000637955964,False,False,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
