sweep_name,sweep_value,method,seed,avg_rate,outage,beam_success,avg_return,latency_ms
blocker_density,0.0,BeliefAwareRollout,0,5.238458483901639,0.06666666666666667,0.8166666666666667,5.070125150568305,7.9649233317468315
blocker_density,0.0,OneStepPredictive,0,5.176618471788427,0.06666666666666667,0.8,5.020785138455095,3.8563250011065975
blocker_density,0.0,Oracle,0,5.619798889592589,0.0,0.9166666666666666,5.614798889592589,1.6393416667900358
blocker_density,0.0,ProposedV2,0,5.238458483901639,0.06666666666666667,0.8166666666666667,5.070125150568305,0.01096832954014341
blocker_density,0.0,Reactive,0,5.238458483901639,0.06666666666666667,0.8166666666666667,5.070125150568305,0.007036665920168161
blocker_density,1.0,BeliefAwareRollout,0,4.940058490550196,0.1,0.7833333333333333,4.7000584905501945,14.152610000261726
blocker_density,1.0,OneStepPredictive,0,5.134439665298923,0.05,0.9333333333333333,5.009439665298923,4.389434999514681
blocker_density,1.0,Oracle,0,5.548077893743783,0.0,0.9166666666666666,5.543077893743783,3.1131050006176033
blocker_density,1.0,ProposedV2,0,5.1632165839920345,0.05,0.8333333333333334,5.028216583992033,0.2670366734188671
blocker_density,1.0,Reactive,0,5.1632165839920345,0.05,0.8333333333333334,5.028216583992033,0.007076664284492533
blocker_density,2.0,BeliefAwareRollout,0,4.855553482871007,0.15,0.75,4.505553482871006,12.144098329008557
blocker_density,2.0,OneStepPredictive,0,2.968514043000347,0.016666666666666666,0.9,2.9251807096670137,4.019501668517478
blocker_density,2.0,Oracle,0,5.5681056232694575,0.0,0.9166666666666666,5.563105623269457,4.551756671086575
blocker_density,2.0,ProposedV2,0,4.696675456914409,0.13333333333333333,0.7666666666666667,4.380008790247742,0.7193916700392341
blocker_density,2.0,Reactive,0,4.855553482871007,0.15,0.75,4.505553482871006,0.006926665082573891
blocker_density,3.0,BeliefAwareRollout,0,4.853155986150403,0.15,0.75,4.498155986150405,13.405811671206417
blocker_density,3.0,OneStepPredictive,0,4.416031752426567,0.06666666666666667,0.8166666666666667,4.267698419093234,5.24418500426691
blocker_density,3.0,Oracle,0,5.548812181893994,0.0,0.9166666666666666,5.543812181893994,5.908545002845737
blocker_density,3.0,ProposedV2,0,4.991052015205953,0.11666666666666667,0.7833333333333333,4.712718681872619,0.7405633349359656
blocker_density,3.0,Reactive,0,4.776976838501691,0.16666666666666666,0.7333333333333333,4.388643505168357,0.006828333910865088
