los_confidence_threshold,risk_threshold,path_spread_threshold,seed,avg_rate,outage,beam_success,avg_return,latency_ms,fallback_rate,reactive_guard_rate
0.5,0.15,0.2,0,5.146769317058482,0.05,0.79125,5.005706817058481,0.2652565649970029,0.3425,0.6575
0.5,0.15,0.2,1,5.049439333893672,0.07375,0.7925,4.863501833893673,0.35893415623547753,0.48375,0.51625
0.5,0.15,0.2,2,4.968051818139414,0.07250000000000001,0.81625,4.787989318139413,0.3268929387530761,0.435,0.565
0.5,0.15,0.2,3,4.91228076293938,0.07875,0.80125,4.717280762939379,0.33576539874957234,0.45625,0.54375
0.5,0.15,0.2,4,5.220403083849457,0.075,0.79,5.031590583849457,0.32284358375136435,0.4275,0.5725
0.5,0.15,0.4,0,5.142889209453381,0.051250000000000004,0.79,4.99895170945338,0.2583496437341637,0.3425,0.6575
0.5,0.15,0.4,1,5.044633659034903,0.07625,0.79,4.853321159034905,0.38057086999288003,0.48375,0.51625
0.5,0.15,0.4,2,4.968051818139414,0.07250000000000001,0.81625,4.787989318139413,0.40106915750698136,0.435,0.565
0.5,0.15,0.4,3,4.906799509875328,0.0825,0.79625,4.704299509875327,0.3370844475057311,0.45625,0.54375
0.5,0.15,0.4,4,5.220403083849457,0.075,0.79,5.031590583849457,0.3419964462585767,0.4275,0.5725
0.5,0.15,0.6,0,5.142889209453381,0.051250000000000004,0.79,4.99895170945338,0.2578101674919253,0.3425,0.6575
0.5,0.15,0.6,1,5.044633659034903,0.07625,0.79,4.853321159034905,0.3592005562501299,0.48375,0.51625
0.5,0.15,0.6,2,4.968051818139414,0.07250000000000001,0.81625,4.787989318139413,0.32696865000787056,0.435,0.565
0.5,0.15,0.6,3,4.906799509875328,0.0825,0.79625,4.704299509875327,0.3362244249944979,0.45625,0.54375
0.5,0.15,0.6,4,5.220403083849457,0.075,0.79,5.031590583849457,0.3212220774958041,0.4275,0.5725
0.5,0.15,0.8,0,5.142889209453381,0.051250000000000004,0.79,4.99895170945338,0.2605732912508074,0.3425,0.6575
0.5,0.15,0.8,1,5.044633659034903,0.07625,0.79,4.853321159034905,0.36412245000121857,0.48375,0.51625
0.5,0.15,0.8,2,4.968051818139414,0.07250000000000001,0.81625,4.787989318139413,0.32074613124393636,0.435,0.565
0.5,0.15,0.8,3,4.906799509875328,0.0825,0.79625,4.704299509875327,0.3400754150015928,0.45625,0.54375
0.5,0.15,0.8,4,5.220403083849457,0.075,0.79,5.031590583849457,0.32006647999594406,0.4275,0.5725
0.5,0.25,0.2,0,5.12122015262276,0.053750000000000006,0.785,4.970782652622759,0.2248046900024292,0.29375,0.70625
0.5,0.25,0.2,1,5.022945705710923,0.075,0.7875,4.833758205710923,0.333213159987622,0.44625,0.55375
0.5,0.25,0.2,2,4.957880880252806,0.0775,0.8075000000000001,4.766318380252805,0.29691667999941274,0.39875,0.60125
0.5,0.25,0.2,3,4.989794326716204,0.08125,0.7925,4.788856826716204,0.30947617249864834,0.4125,0.5875
0.5,0.25,0.2,4,5.226530670316105,0.07125000000000001,0.7925,5.0448431703161045,0.299185931250463,0.4025,0.5975
0.5,0.25,0.4,0,5.117340045017659,0.05500000000000001,0.7837500000000001,4.964027545017659,0.22477720999063422,0.29375,0.70625
0.5,0.25,0.4,1,4.99265390236538,0.08,0.7825,4.7932789023653815,0.33199246875085464,0.44625,0.55375
0.5,0.25,0.4,2,4.957880880252806,0.0775,0.8075000000000001,4.765943380252806,0.29550937875683303,0.39875,0.60125
0.5,0.25,0.4,3,4.986407974438558,0.08374999999999999,0.7887500000000001,4.780845474438557,0.3145517675022802,0.4125,0.5875
0.5,0.25,0.4,4,5.226530670316105,0.07125000000000001,0.7925,5.0448431703161045,0.2983079112465248,0.4025,0.5975
0.5,0.25,0.6,0,5.117340045017659,0.05500000000000001,0.7837500000000001,4.964027545017659,0.22489895624005385,0.29375,0.70625
0.5,0.25,0.6,1,4.99265390236538,0.08,0.7825,4.7932789023653815,0.3291468662501984,0.44625,0.55375
